event_time,hostname,parser,message,source,file_name,prefetch_ctime,prefetch_mtime,prefetch_size,prefetch_hash,prefetch_version,prefetch_file,prefetch_count
2025-10-19T21:48:57Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution: HOSTNAME.EXE Prefetch run count 7,C:\Windows\Prefetch\HOSTNAME.EXE-83151131.pf,HOSTNAME.EXE,2025-10-19T21:48:57.495954Z,2026-01-28T09:35:38.7810874Z,14954,0X83151131,Win11 (31),HOSTNAME.EXE-83151131.pf,7
2025-10-19T21:48:57.495954Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): HOSTNAME.EXE Prefetch run count 7,C:\Windows\Prefetch\HOSTNAME.EXE-83151131.pf,HOSTNAME.EXE,2025-10-19T21:48:57.495954Z,2026-01-28T09:35:38.7810874Z,14954,0X83151131,Win11 (31),HOSTNAME.EXE-83151131.pf,7
2025-10-19T21:48:59Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution: NETSH.EXE Prefetch run count 8,C:\Windows\Prefetch\NETSH.EXE-59756CAC.pf,NETSH.EXE,2025-10-19T21:49:00.7940147Z,2026-01-28T09:35:41.3784617Z,69392,0X59756CAC,Win11 (31),NETSH.EXE-59756CAC.pf,8
2025-10-19T21:49:00.7940147Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): NETSH.EXE Prefetch run count 8,C:\Windows\Prefetch\NETSH.EXE-59756CAC.pf,NETSH.EXE,2025-10-19T21:49:00.7940147Z,2026-01-28T09:35:41.3784617Z,69392,0X59756CAC,Win11 (31),NETSH.EXE-59756CAC.pf,8
2025-10-19T21:49:07.6587907Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): POWERSHELL.EXE Prefetch run count 59,C:\Windows\Prefetch\POWERSHELL.EXE-022A1004.pf,POWERSHELL.EXE,2025-10-19T21:49:07.6587907Z,2026-01-28T09:48:47.8135104Z,293248,0X22A1004,Win11 (31),POWERSHELL.EXE-022A1004.pf,59
2025-10-19T21:49:07.6904054Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): CSCRIPT.EXE Prefetch run count 13,C:\Windows\Prefetch\CSCRIPT.EXE-AC3ABA62.pf,CSCRIPT.EXE,2025-10-19T21:49:07.6904054Z,2026-01-28T09:35:44.6798727Z,73512,0XAC3ABA62,Win11 (31),CSCRIPT.EXE-AC3ABA62.pf,13
2025-10-19T21:49:28.5806973Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SEARCHPROTOCOLHOST.EXE Prefetch run count 1946,C:\Windows\Prefetch\SEARCHPROTOCOLHOST.EXE-C6CFE2A8.pf,SEARCHPROTOCOLHOST.EXE,2025-10-19T21:49:28.5806973Z,2026-03-11T21:37:59.4455073Z,20582,0XC6CFE2A8,Win11 (31),SEARCHPROTOCOLHOST.EXE-C6CFE2A8.pf,1946
2025-10-19T21:49:49.234404Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SEARCHFILTERHOST.EXE Prefetch run count 2827,C:\Windows\Prefetch\SEARCHFILTERHOST.EXE-10E4267C.pf,SEARCHFILTERHOST.EXE,2025-10-19T21:49:49.234404Z,2026-03-11T21:38:02.4916043Z,25672,0X10E4267C,Win11 (31),SEARCHFILTERHOST.EXE-10E4267C.pf,2827
2025-10-19T21:49:50.3788935Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): WMIADAP.EXE Prefetch run count 21,C:\Windows\Prefetch\WMIADAP.EXE-7D63BB4C.pf,WMIADAP.EXE,2025-10-19T21:49:50.3788935Z,2026-03-11T20:05:50.7847247Z,29054,0X7D63BB4C,Win11 (31),WMIADAP.EXE-7D63BB4C.pf,21
2025-10-19T21:50:15.1130224Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): MSCORSVW.EXE Prefetch run count 52,C:\Windows\Prefetch\MSCORSVW.EXE-55FE3087.pf,MSCORSVW.EXE,2025-10-19T21:50:15.1130224Z,2026-03-11T07:22:26.6642615Z,62280,0X55FE3087,Win11 (31),MSCORSVW.EXE-55FE3087.pf,52
2025-10-19T21:51:03.0404987Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 87,C:\Windows\Prefetch\SVCHOST.EXE-B00008EC.pf,SVCHOST.EXE,2025-10-19T21:51:03.0404987Z,2026-03-11T23:21:47.9172568Z,59268,0XB00008EC,Win11 (31),SVCHOST.EXE-B00008EC.pf,87
2025-10-19T21:53:44.0810961Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): WMIPRVSE.EXE Prefetch run count 782,C:\Windows\Prefetch\WMIPRVSE.EXE-BB49B536.pf,WMIPRVSE.EXE,2025-10-19T21:53:44.0810961Z,2026-03-12T08:29:11.2185605Z,34082,0XBB49B536,Win11 (31),WMIPRVSE.EXE-BB49B536.pf,782
2025-10-19T21:53:44.3326936Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): MOUSOCOREWORKER.EXE Prefetch run count 550,C:\Windows\Prefetch\MOUSOCOREWORKER.EXE-7CAF47D4.pf,MOUSOCOREWORKER.EXE,2025-10-19T21:53:44.3326936Z,2026-03-12T06:10:30.0085185Z,119898,0X7CAF47D4,Win11 (31),MOUSOCOREWORKER.EXE-7CAF47D4.pf,550
2025-10-19T21:56:37.0774975Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): DEFRAG.EXE Prefetch run count 21,C:\Windows\Prefetch\DEFRAG.EXE-22AD8A37.pf,DEFRAG.EXE,2025-10-19T21:56:37.0774975Z,2026-03-11T07:17:33.3737104Z,19994,0X22AD8A37,Win11 (31),DEFRAG.EXE-22AD8A37.pf,21
2025-10-19T21:56:45.1539779Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 638,C:\Windows\Prefetch\SVCHOST.EXE-2A1DD903.pf,SVCHOST.EXE,2025-10-19T21:56:45.1539779Z,2026-03-12T07:37:14.7020717Z,20856,0X2A1DD903,Win11 (31),SVCHOST.EXE-2A1DD903.pf,638
2025-10-19T21:56:46.7919335Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 28,C:\Windows\Prefetch\SVCHOST.EXE-576FFE64.pf,SVCHOST.EXE,2025-10-19T21:56:46.7919335Z,2026-03-11T07:17:43.4810547Z,22492,0X576FFE64,Win11 (31),SVCHOST.EXE-576FFE64.pf,28
2025-10-19T21:58:44.0845333Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 631,C:\Windows\Prefetch\SVCHOST.EXE-E6789326.pf,SVCHOST.EXE,2025-10-19T21:58:44.0845333Z,2026-03-12T08:29:09.9602262Z,84098,0XE6789326,Win11 (31),SVCHOST.EXE-E6789326.pf,631
2025-10-19T22:00:48.711648Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): COMPATTELRUNNER.EXE Prefetch run count 62,C:\Windows\Prefetch\COMPATTELRUNNER.EXE-93B5AB09.pf,COMPATTELRUNNER.EXE,2025-10-19T22:00:48.711648Z,2026-03-11T07:39:52.4109449Z,104940,0X93B5AB09,Win11 (31),COMPATTELRUNNER.EXE-93B5AB09.pf,62
2025-10-19T22:02:24.5246541Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 172,C:\Windows\Prefetch\SVCHOST.EXE-469DC83C.pf,SVCHOST.EXE,2025-10-19T22:02:24.5246541Z,2026-03-12T06:10:31.8288189Z,129998,0X469DC83C,Win11 (31),SVCHOST.EXE-469DC83C.pf,172
2025-10-19T22:46:11.682244Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SDBINST.EXE Prefetch run count 1071,C:\Windows\Prefetch\SDBINST.EXE-370E6B85.pf,SDBINST.EXE,2025-10-19T22:46:11.682244Z,2026-03-12T08:23:07.7409542Z,14312,0X370E6B85,Win11 (31),SDBINST.EXE-370E6B85.pf,1071
2025-10-19T22:46:13.8020539Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 1342,C:\Windows\Prefetch\SVCHOST.EXE-72547F04.pf,SVCHOST.EXE,2025-10-19T22:46:13.8020539Z,2026-03-12T02:51:25.501761Z,86608,0X72547F04,Win11 (31),SVCHOST.EXE-72547F04.pf,1342
2025-10-19T23:51:05.4096614Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 174,C:\Windows\Prefetch\SVCHOST.EXE-60F5DE2F.pf,SVCHOST.EXE,2025-10-19T23:51:05.4096614Z,2026-03-12T08:24:50.2957269Z,21946,0X60F5DE2F,Win11 (31),SVCHOST.EXE-60F5DE2F.pf,174
2025-10-20T05:56:52.2509342Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 23,C:\Windows\Prefetch\SVCHOST.EXE-2E2E0474.pf,SVCHOST.EXE,2025-10-20T05:56:52.2509342Z,2026-03-11T20:04:06.6594137Z,22618,0X2E2E0474,Win11 (31),SVCHOST.EXE-2E2E0474.pf,23
2025-10-20T11:52:40.0095636Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 68,C:\Windows\Prefetch\SVCHOST.EXE-9EB1DAB8.pf,SVCHOST.EXE,2025-10-20T11:52:40.0095636Z,2026-03-12T02:19:40.0963685Z,30200,0X9EB1DAB8,Win11 (31),SVCHOST.EXE-9EB1DAB8.pf,68
2025-10-20T11:52:40.1214276Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 68,C:\Windows\Prefetch\SVCHOST.EXE-824BF13F.pf,SVCHOST.EXE,2025-10-20T11:52:40.1214276Z,2026-03-12T02:19:40.1743699Z,24034,0X824BF13F,Win11 (31),SVCHOST.EXE-824BF13F.pf,68
2025-10-20T11:52:40.2174036Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 67,C:\Windows\Prefetch\SVCHOST.EXE-DF094E96.pf,SVCHOST.EXE,2025-10-20T11:52:40.2174036Z,2026-03-12T02:19:40.2850978Z,24786,0XDF094E96,Win11 (31),SVCHOST.EXE-DF094E96.pf,67
2025-10-20T11:52:41.3914069Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SPPSVC.EXE Prefetch run count 1345,C:\Windows\Prefetch\SPPSVC.EXE-7B160CA5.pf,SPPSVC.EXE,2025-10-20T11:52:41.3914069Z,2026-03-12T08:29:10.8665798Z,33850,0X7B160CA5,Win11 (31),SPPSVC.EXE-7B160CA5.pf,1345
2025-10-20T15:45:48.8155566Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): UPFC.EXE Prefetch run count 59,C:\Windows\Prefetch\UPFC.EXE-55CA7C00.pf,UPFC.EXE,2025-10-20T15:45:48.8155566Z,2026-02-28T10:33:33.7913041Z,22412,0X55CA7C00,Win11 (31),UPFC.EXE-55CA7C00.pf,59
2025-10-20T15:50:49.0234468Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SIHCLIENT.EXE Prefetch run count 65,C:\Windows\Prefetch\SIHCLIENT.EXE-89165619.pf,SIHCLIENT.EXE,2025-10-20T15:50:49.0234468Z,2026-03-11T07:08:32.6886361Z,62638,0X89165619,Win11 (31),SIHCLIENT.EXE-89165619.pf,65
2025-10-20T18:36:00.0882621Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 16,C:\Windows\Prefetch\SVCHOST.EXE-CB16EF8B.pf,SVCHOST.EXE,2025-10-20T18:36:00.0882621Z,2026-03-11T20:04:07.0071156Z,31938,0XCB16EF8B,Win11 (31),SVCHOST.EXE-CB16EF8B.pf,16
